,gene_ID,gene_name
26738,ENSG00000120952.4,PRAMEF2
26752,ENSG00000243073.4,PRAMEF4
26766,ENSG00000187545.5,PRAMEF10
26780,ENSG00000204510.5,PRAMEF7
26804,ENSG00000207434.1,RNU6-1072P
26807,ENSG00000234064.1,PRAMEF29P
26811,ENSG00000232423.6,PRAMEF6
26838,ENSG00000274178.2,PRAMEF28P
26843,ENSG00000274764.6,PRAMEF27
26857,ENSG00000277058.3,HNRNPCL3
26874,ENSG00000229571.7,PRAMEF25
26901,ENSG00000277862.1,PRAMEF34P
26906,ENSG00000236179.1,PRAMEF35P
26910,ENSG00000275774.3,HNRNPCL2
26920,ENSG00000229978.1,PRAMEF36P
26928,ENSG00000233336.1,RP13-221M14.2
26932,ENSG00000280267.4,PRAMEF26
26946,ENSG00000179412.11,HNRNPCL4
26954,ENSG00000204505.5,PRAMEF9
26968,ENSG00000279169.3,PRAMEF13
26991,ENSG00000279804.2,PRAMEF18
27002,ENSG00000250894.1,PRAMEF31P
27007,ENSG00000270601.4,PRAMEF5
27021,ENSG00000231219.1,PRAMEF32P
27025,ENSG00000207511.1,RNU6-771P
27028,ENSG00000182330.10,PRAMEF8
27065,ENSG00000237700.2,PRAMEF33
27079,ENSG00000204501.7,PRAMEF15
27093,ENSG00000228229.2,RP11-219C24.10
27097,ENSG00000204481.8,PRAMEF14
27114,ENSG00000204480.8,PRAMEF19
27125,ENSG00000204479.4,PRAMEF17
27137,ENSG00000204478.10,PRAMEF20
27149,ENSG00000162494.6,LRRC38
27159,ENSG00000259961.1,RP4-597A16.2
27164,ENSG00000215909.3,BRWD1P1
27168,ENSG00000162493.17,PDPN
27346,ENSG00000222952.1,RNA5SP41
27349,ENSG00000237445.2,CTA-520D8.2
27353,ENSG00000253085.1,ENSG10010140100.1
27356,ENSG00000116731.22,PRDM2
27546,ENSG00000189337.17,KAZN
27739,ENSG00000252151.1,RNU6-1265P
27742,ENSG00000231606.2,RP11-344F13.1
27752,ENSG00000234593.3,KAZN-AS1
